Date,Inflation Rate (%)
2011-03-31,-0.5167173252279634
2011-12-31,0.9594731509625125
2012-06-30,-0.13441404930766615
2012-09-30,-0.19824383654170896
2012-12-31,-0.3826409996622763
2013-12-31,0.8378926038500507
2014-06-30,-1.1631205673758864
2014-12-31,0.8581560283687943
2015-03-31,0.09219858156028377
2015-09-30,-0.9984802431610944
2016-09-30,1.4164133738601825
2017-06-30,-1.0438196555217831
2017-09-30,0.38247213779128675
2017-12-31,-0.33257345491388046
2018-03-31,0.12428233704829444
2018-09-30,-0.046437014522120845
2018-12-31,0.6977372509287404
2019-09-30,-0.7388551165146913
2019-12-31,0.11702127659574496
2020-03-31,0.8183890577507598
2020-06-30,-1.552178318135765
2020-09-30,1.2808172914555893
2020-12-31,-0.08037825059101655
2021-12-31,-1.267308341776427
2022-03-31,1.261904761904762
2022-06-30,0.019250253292806496
2022-09-30,-0.5648429584599797
2023-03-31,-0.09726443768996973
2023-09-30,0.7294832826747721
