Date,Inflation Rate (%)
2011-03-31,-0.5167173252279634
2011-12-31,0.9594731509625124
2012-06-30,-0.1344140493076661
2012-09-30,-0.1982438365417089
2012-12-31,-0.3826409996622763
2013-12-31,0.09422492401215805
2014-06-30,-0.013508949679162422
2014-12-31,-0.03039513677811545
2015-03-31,0.007373635033209515
2015-09-30,-0.12599909940335474
2016-09-30,0.1738432961837217
2017-06-30,-0.13977541371158395
2017-09-30,0.11782337048294493
2017-12-31,-0.08063154339750088
2018-03-31,-0.07528425081616576
2018-09-30,0.08338962062366317
2018-12-31,-0.03638973319824381
2019-09-30,0.014437689969604836
2019-12-31,-0.02980412022965213
2020-03-31,0.16202296521445456
2020-06-30,-0.11738714398288864
2020-09-30,0.10382190701339633
2020-12-31,-0.02586400990656315
2021-12-31,-0.1139395474501858
2022-03-31,0.07687436676798375
2022-06-30,-0.05631543397500849
2022-09-30,-0.5648429584599797
2023-03-31,-0.0972644376899697
2023-09-30,0.7294832826747721
