Date,Inflation Rate (%),GDP Growth Rate (%),Unemployment Rate (%),Interest Rate (%),Stock Index Value
2010-01-31,0.7527862208713273,0.6800832755031229,0.04231166150670798,0.6846511627906977,0.30250267092804034
2010-02-28,0.3140830800405269,0.6786953504510758,0.7316821465428277,0.02883720930232557,0.23595401755933149
2010-03-31,0.7264437689969605,0.241498959056211,0.1929824561403509,0.8548837209302326,0.11385086243124316
2010-06-30,0.5602836879432623,0.40458015267175573,0.23839009287925703,0.40093023255813953,0.007960287260681771
2011-01-31,0.0060790273556231,0.21790423317140878,1.0000000000000002,0.08465116279069766,0.7979573511767446
2011-11-30,0.7781155015197568,0.8605135322692575,0.9040247678018577,0.33488372093023255,0.8412957133441676
2011-12-31,0.044579533941236066,0.3483691880638446,0.3446852425180599,0.9348837209302325,0.7488681115904252
2012-05-31,0.7872340425531915,0.18459403192227625,0.6604747162022705,0.9441860465116279,0.6136503591560002
2012-05-31,0.5623100303951368,0.0645385149201943,0.0020639834881321095,0.7386046511627907,1.0
2012-06-30,0.6970618034447822,0.12838306731436505,0.5944272445820434,0.15255813953488373,0.0
2012-08-31,0.7548125633232017,0.2373351839000694,0.3519091847265222,0.9590697674418605,0.1910399481069205
2012-10-31,0.4447821681864235,0.23525329632199865,0.052631578947368446,0.9562790697674419,0.6397069686709961
2013-12-31,0.9726443768996961,0.34142956280360864,0.6553147574819402,0.6576744186046511,0.34584664344693583
2014-05-31,0.5825734549138805,0.5621096460791117,0.5139318885448917,0.25953488372093025,0.13871700879569532
2014-06-30,0.1833839918946302,0.7966689798750868,0.4881320949432405,0.906046511627907,0.3809808016444208
2014-06-30,0.3991894630192503,0.5322692574600971,0.6687306501547989,0.13953488372093023,0.8612536036489727
2014-06-30,0.18439716312056736,0.0,0.8503611971104231,0.5590697674418604,0.5169172133865125
2014-12-31,0.5602836879432623,0.07147814018043025,0.06501547987616099,0.7776744186046511,0.893253979809681
2015-03-31,0.8753799392097265,0.6141568355308813,0.7430340557275542,0.8790697674418605,0.5457947610537951
2015-07-31,0.18439716312056736,0.19500346981263014,0.7378740970072241,0.9246511627906977,0.0015318931115837417
2015-09-30,0.19959473150962512,0.8799444829979182,0.8813209494324045,0.5925581395348838,0.1523913054513114
2016-09-30,0.9250253292806484,0.32824427480916035,0.1857585139318886,0.7451162790697674,0.7752402365858501
2017-04-30,0.5977710233029382,0.040249826509368536,0.7461300309597525,0.04744186046511627,0.16193985649789572
2017-04-30,0.8085106382978723,0.45246356696738377,0.3292053663570691,0.41023255813953485,0.7735619400167938
2017-05-31,0.27254305977710236,0.53088133240805,0.9721362229102167,0.06604651162790696,0.9201075263933645
2017-06-30,0.7781155015197568,0.6287300485773768,0.21671826625387,0.9683720930232558,0.7521215811252817
2017-09-30,0.6859169199594731,0.2505204718945177,0.43550051599587203,0.30604651162790697,0.6799326544095627
2017-10-31,0.19250253292806482,0.5593337959750174,0.08565531475748198,0.7516279069767442,0.7213111337959291
2017-11-30,0.657548125633232,0.2741151977793199,0.9164086687306502,0.7032558139534884,0.7753254604963132
2018-01-31,0.07396149949341438,0.5683553088133241,0.7812177502579981,0.3069767441860465,0.48094417406409323
2018-03-31,0.04964539007092199,0.7418459403192228,0.6160990712074303,0.25953488372093025,0.38552251474119853
2018-03-31,0.7416413373860182,0.7827897293546149,0.7244582043343654,0.6883720930232557,0.6005897280876371
2018-07-31,0.10536980749746708,1.0,0.8276573787409701,0.361860465116279,0.5620343241303088
2018-11-30,0.6200607902735563,0.369882026370576,0.8864809081527348,0.47813953488372096,0.40218499145490044
2019-08-31,0.4154002026342452,0.6530187369882027,0.627450980392157,0.521860465116279,0.5351513899912934
2019-08-31,0.8085106382978723,0.6176266481609993,0.1785345717234262,0.8400000000000001,0.31921724376255817
2019-08-31,0.25937183383991896,0.4108258154059681,0.73890608875129,0.1255813953488372,0.2712821336220082
2019-09-30,0.10030395136778116,0.6953504510756419,0.6563467492260062,0.8502325581395349,0.2013886421373195
2019-10-31,0.5775075987841946,0.897293546148508,0.8028895768833849,0.5544186046511628,0.08081524284406348
2019-11-30,0.0,0.8396946564885497,0.3271413828689371,0.8809302325581395,0.7117591096746239
2020-02-29,1.0,0.49479528105482307,0.368421052631579,0.4037209302325582,0.26134272808950704
2020-05-31,0.1590678824721378,0.06315058986814714,0.8844169246646029,0.11069767441860465,0.4070459602664223
2020-08-31,0.3373860182370821,0.7591950034698127,0.9855521155830754,0.7237209302325581,0.07441810636745505
2020-08-31,0.8308004052684904,0.1464260929909785,0.0,0.9906976744186047,0.5177574303094163
2020-09-30,0.822695035460993,0.7598889659958363,0.6326109391124871,1.0,0.6332417064979359
2020-09-30,0.1337386018237082,0.11103400416377518,0.5810113519091847,0.6037209302325581,0.5063756301292973
2020-09-30,0.6423505572441742,0.2532963219986121,0.8482972136222909,0.0,0.6327824591559735
2020-09-30,0.8267477203647415,0.28660652324774466,0.004127966976264219,0.38883720930232557,0.8999140013267147
2020-10-31,0.9584599797365755,0.7807078417765441,0.14654282765737878,0.7246511627906977,0.5508002632056321
2021-10-31,0.05065856129685917,0.6703678001387925,0.0773993808049536,0.10046511627906976,0.12843831057890548
2022-03-31,0.4873353596757852,0.6745315752949341,0.6965944272445821,0.6102325581395349,0.38193322559677445
2022-03-31,0.3221884498480243,0.2269257460097155,0.7296181630546956,0.481860465116279,0.10184150436498703
2022-06-30,0.7781155015197568,0.6391394864677308,0.3766769865841073,0.22046511627906976,0.3483873311851921
2022-07-31,0.9533941236068895,0.4642609299097849,0.29721362229102166,0.04279069767441859,0.8378271803361992
2022-07-31,0.2198581560283688,0.6634281748785565,0.20020639834881324,0.09860465116279069,0.41184334509458925
2023-02-28,0.29787234042553196,0.15336571825121445,0.5386996904024768,0.29674418604651165,0.5657521170394123
2023-09-30,0.7386018237082067,0.3865371269951423,0.7358101135190919,0.5162790697674419,0.9916483239342136
